Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,54.990002,55.250000,54.810001,54.814999,54.814999,7625
2021-06-16,54.810001,54.880001,54.720001,54.799999,54.799999,7060
2021-06-17,54.709999,55.189999,54.689999,55.169998,55.169998,5702
2021-06-18,55.529999,55.630001,54.959999,55.029999,55.029999,4303
2021-06-21,54.750000,55.180000,54.700001,55.134998,55.134998,6737
2021-06-22,55.369999,55.639999,55.169998,55.450001,55.450001,14404
2021-06-23,55.770000,55.770000,55.259998,55.375000,55.375000,6655
2021-06-24,55.470001,55.930000,55.380001,55.849998,55.849998,8888
2021-06-25,55.900002,56.060001,55.846050,56.000000,56.000000,8140
2021-06-28,56.000000,56.360001,55.910000,56.090000,56.090000,15460
2021-06-29,56.410000,56.650002,56.299999,56.514999,56.514999,10970
2021-06-30,56.500000,56.639999,56.299999,56.599998,56.599998,7205
2021-07-01,56.750000,57.000000,56.680000,56.955002,56.955002,15958
2021-07-02,57.279999,57.720001,57.090000,57.230000,57.230000,9655
2021-07-05,57.160000,57.290001,57.099998,57.244999,57.244999,10249
2021-07-06,57.029999,57.270000,56.990002,57.080002,57.080002,5094
2021-07-07,57.320000,57.500000,57.230000,57.509998,57.509998,7194
2021-07-08,57.369999,57.389999,56.830002,57.060001,57.060001,5851
2021-07-09,57.240002,57.400002,57.070000,57.424999,57.424999,17473
2021-07-12,57.240002,57.459999,57.148849,57.419998,57.419998,13590
2021-07-13,57.669998,57.950001,57.389999,57.770000,57.770000,7992
2021-07-14,57.360001,57.669998,57.320000,57.474998,57.474998,7955
2021-07-15,57.459999,57.669998,57.200001,57.340000,57.340000,9870
2021-07-16,57.750000,57.750000,57.346020,57.480000,57.480000,12422
2021-07-19,57.180000,57.389999,56.459999,56.669998,56.669998,17472
2021-07-20,57.209999,57.826870,56.950001,57.730000,57.730000,24490
2021-07-21,58.000000,58.090000,57.860001,57.959999,57.959999,23902
2021-07-22,57.880001,58.139999,57.619732,57.724998,57.724998,9736
2021-07-23,58.189999,58.279999,58.047691,58.334999,58.334999,13302
2021-07-26,58.540001,58.540001,58.070000,58.205002,58.205002,25074
2021-07-27,58.169998,58.459999,57.610001,57.605000,57.605000,7642
2021-07-28,57.770000,58.040001,57.610001,57.794998,57.794998,10439
2021-07-29,57.619999,57.820000,57.501621,57.689999,57.689999,7981
2021-07-30,57.230000,57.651169,57.009998,57.630001,57.630001,46507
2021-08-02,57.889999,58.250000,57.549999,57.865002,57.865002,11285
2021-08-03,57.680000,57.939999,57.400002,57.544998,57.544998,14064
2021-08-04,57.790001,58.040001,57.558270,57.834999,57.834999,14119
2021-08-05,57.700001,57.919998,57.650002,57.830002,57.830002,10894
2021-08-06,57.919998,58.320000,57.700001,58.275002,58.275002,10808
2021-08-09,58.099998,58.490002,57.810001,58.250000,58.250000,9274
2021-08-10,58.279999,58.820000,58.180000,58.400002,58.400002,7479
2021-08-11,58.450001,58.590000,58.370430,58.355000,58.355000,11055
2021-08-12,58.439999,58.639999,58.398399,58.540001,58.540001,6373
2021-08-13,59.000000,59.240002,58.669998,58.724998,58.724998,7283
